Cluster,CAZyme,Cellulose,Hemicellulose,Lignin,Oligosaccharides
fucose-CazC3,AA12,1,0,0,0
xylose-CazC5,AA12,1,0,0,0
fucose-CazC3,AA2,0,0,1,0
vanillic acid-CazC1,AA5_2,1,0,1,1
fucose-CazC6,AA6,0,0,1,0
xylose-CazC10,AA6,0,0,1,0
vanillic acid-CazC3,AA6,0,0,1,0
hydroxybenzoic acid-CazC1,AA6,0,0,1,0
fucose-CazC1,CBM13,0,1,0,0
xylose-CazC7,CBM13,0,1,0,0
hydroxybenzoic acid-CazC3,CBM13,0,1,0,0
fucose-CazC1,CBM2,1,1,0,0
xylose-CazC2,CBM2,1,1,0,0
vanillic acid-CazC1,CBM2,1,1,0,0
hydroxybenzoic acid-CazC4,CBM2,1,1,0,0
fucose-CazC4,CBM32,0,1,0,1
xylose-CazC8,CBM32,0,1,0,1
benzoic acid-CazC2,CBM38,0,0,0,1
glucose-CazC2,CBM4.GH9,0,0,0,0
xylose-CazC3,CBM4.GH9,0,0,0,0
fucose-CazC2,CBM50,0,0,0,0
xylose-CazC5,CBM50,0,0,0,0
galactose-CazC1,CBM57,0,0,0,1
hydroxybenzoic acid-CazC5,CBM57,0,0,0,1
fucose-CazC1,CBM60,0,1,0,0
xylose-CazC2,CBM60,0,1,0,0
glucose-CazC2,CBM61,0,1,0,0
vanillic acid-CazC1,CBM62,0,1,0,0
fucose-CazC4,CBM67.GH78,0,0,0,0
xylose-CazC8,CBM67.GH78,0,0,0,0
fucose-CazC1,CBM68,0,1,0,1
xylose-CazC3,CBM68,0,1,0,1
vanillic acid-CazC1,CBM68,0,1,0,1
hydroxybenzoic acid-CazC2,CBM68,0,1,0,1
xylose-CazC4,CBM9,1,0,0,0
fucose-CazC7,GH0,0,0,0,0
xylose-CazC9,GH0,0,0,0,0
vanillic acid-CazC4,GH0,0,0,0,0
glucose-CazC1,GH1,1,1,0,1
glucose-CazC3,GH105,0,0,0,1
glucose-CazC2,GH113,0,0,0,1
glucose-CazC3,GH114,0,0,0,0
vanillic acid-CazC2,GH115,0,1,0,0
fucose-CazC4,GH128,0,1,0,1
xylose-CazC7,GH128,0,1,0,1
fucose-CazC1,GH129,0,0,0,0
vanillic acid-CazC3,GH13,0,0,0,1
glucose-CazC1,GH130,0,1,0,1
fucose-CazC6,GH130,0,1,0,1
xylose-CazC10,GH130,0,1,0,1
vanillic acid-CazC3,GH130,0,1,0,1
hydroxybenzoic acid-CazC1,GH130,0,1,0,1
fucose-CazC6,GH133,0,0,0,1
xylose-CazC10,GH133,0,0,0,1
fucose-CazC1,GH135,0,0,0,1
xylose-CazC3,GH135,0,0,0,1
glucose-CazC2,GH136,0,0,0,1
fucose-CazC6,GH13_10,0,0,0,1
xylose-CazC10,GH13_10,0,0,0,1
xylose-CazC10,GH13_11,0,0,0,1
vanillic acid-CazC4,GH13_11,0,0,0,1
hydroxybenzoic acid-CazC1,GH13_11,0,0,0,1
glucose-CazC2,GH13_17,0,0,0,1
fucose-CazC4,GH13_18,0,0,0,1
xylose-CazC8,GH13_18,0,0,0,1
