Activity,EC,Cellulose,Hemicellulose,Lignin,Oligosaccharides
?-glucosidase (EC 3.2.1.21), 3.2.1.21,1,1,0,1
?-galactosidase (EC 3.2.1.23), 3.2.1.23,0,1,0,1
?-mannosidase (EC 3.2.1.25), 3.2.1.25,0,1,0,1
?-glucuronidase (EC 3.2.1.31), 3.2.1.31,0,0,0,1
?-xylosidase (EC 3.2.1.37), 3.2.1.37,0,1,0,1
?-D-fucosidase (EC 3.2.1.38), 3.2.1.38,0,1,0,0
phlorizin hydrolase (EC 3.2.1.62), 3.2.1.62,1,1,0,0
"exo-?-1,4-glucanase (EC 3.2.1.74)", 3.2.1.74,1,0,0,1
6-phospho-?-galactosidase (EC 3.2.1.85), 3.2.1.85,0,0,0,1
6-phospho-?-glucosidase (EC 3.2.1.86), 3.2.1.86,0,0,0,1
strictosidine ?-glucosidase (EC 3.2.1.105), 3.2.1.105,0,0,0,0
lactase (EC 3.2.1.108), 3.2.1.108,0,0,0,1
amygdalin ?-glucosidase (EC 3.2.1.117), 3.2.1.117,0,0,0,0
prunasin ?-glucosidase (EC 3.2.1.118), 3.2.1.118,0,0,0,0
vicianin hydrolase (EC 3.2.1.119), 3.2.1.119,0,0,0,0
raucaffricine ?-glucosidase (EC 3.2.1.125), 3.2.1.125,0,0,0,0
thioglucosidase (EC 3.2.1.147), 3.2.1.147,0,0,0,0
?-primeverosidase (EC 3.2.1.149), 3.2.1.149,0,0,0,0
isoflavonoid 7-O-?-apiosyl-?-glucosidase (EC 3.2.1.161), 3.2.1.161,0,0,0,0
ABA-specific ?-glucosidase (EC 3.2.1.175), 3.2.1.175,0,0,0,0
DIMBOA ?-glucosidase (EC 3.2.1.182), 3.2.1.182,0,0,0,0
?-glycosidase (EC 3.2.1.-), 3.2.1.-,1,1,0,1
hydroxyisourate hydrolase (EC 3.5.2.17), 3.5.2.17,0,0,0,0
"?-rutinosidase /?-L-rhamnose-(1,6)-?-D-glucosidase (EC 3.2.1.-)", 3.2.1.-,0,0,0,1
"?-1,4-mannosylglucose phosphorylase (EC 2.4.1.281)", 2.4.1.281,0,1,0,1
"?-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319)", 2.4.1.319,0,1,0,1
"?-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320)", 2.4.1.320,0,0,0,0
"?-1,2-mannobiose phosphorylase (EC 2.4.1.-)",2.4.1.339 ,0,0,0,1
"?-1,2-oligomannan phosphorylase (EC 2.4.1.-)", 2.4.1.-,0,0,0,1
"?-1,2-mannosidase (EC 3.2.1.-)", 3.2.1.24,0,0,0,1
lysozyme (EC 3.2.1.17), 3.2.1.17,0,0,0,0
endoglucanase (EC 3.2.1.4), 3.2.1.4,1,1,0,1
cellobiohydrolase (EC 3.2.1.91), 3.2.1.91,1,0,0,1
"lichenase / endo-?-1,3-1,4-glucanase (EC 3.2.1.73)", 3.2.1.73,1,0,0,1
unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172), 3.2.1.172,1,1,1,1
"d-4,5-unsaturated ?-glucuronyl hydrolase (EC 3.2.1.-)", 3.2.1.-,0,0,0,0
"d-4,5-unsaturated ?-galacturonidase (EC 3.2.1.-)", 3.2.1.-,0,0,0,0
processing ?-glucosidase (EC 3.2.1.106), 3.2.1.106,0,0,0,0
"?-1,3-glucosidase (EC 3.2.1.84)", 3.2.1.84,0,0,0,0
?-glucosidase (EC 3.2.1.20), 3.2.1.20,0,0,0,0
mannosylglycerate ?-mannosidase / mannosylglycerate hydrolase (EC 3.2.1.170), 3.2.1.170,0,1,0,1
glucosylglycerate hydrolase (EC 3.2.1.208), 3.2.1.208,0,0,0,0
"endo-?-1,4-polygalactosaminidase (EC 3.2.1.109)", 3.2.1.109,0,0,0,0
?-L-arabinofuranosidase (EC 3.2.1.55), 3.2.1.55,0,1,0,1
xylanase (EC 3.2.1.8), 3.2.1.8,0,1,0,
"?-1,2-L-arabinofuranosidase (EC 3.2.1.-)", 3.2.1.-,0,0,0,0
"exo-?-1,5-L-arabinofuranosidase (EC 3.2.1.-)", 3.2.1.-,0,0,0,0
"[inverting] exo-?-1,5-L-arabinanase (EC 3.2.1.-)", 3.2.1.-,0,0,0,0
"?-1,3-xylosidase (EC 3.2.1.-)", 3.2.1.-,0,1,0,1
"[inverting] endo-?-1,5-L-arabinanase (EC 3.2.1.99)", 3.2.1.99,0,0,0,1
"exo-?-1,3-galactanase (EC 3.2.1.145)", 3.2.1.145,0,1,0,1
?-D-galactofuranosidase (EC 3.2.1.146), 3.2.1.146,0,1,0,1
xyloglucanase (EC 3.2.1.151), 3.2.1.151,0,1,0,0
?-amylase (EC 3.2.1.1), 3.2.1.1,0,0,0,0
?-galactosidase (EC 3.2.1.22), 3.2.1.22,0,0,0,1
amylopullulanase (EC 3.2.1.41), 3.2.1.41,0,0,0,0
cyclomaltodextrinase (EC 3.2.1.54), 3.2.1.54,0,0,0,0
branching enzyme (EC 2.4.1.18), 2.4.1.18,0,0,0,0
4-?-glucanotransferase (EC 2.4.1.25), 2.4.1.25,0,0,0,0
amylomaltase or 4-?-glucanotransferase (EC 2.4.1.25), 2.4.1.25,0,0,0,0
"1,4-benzoquinone reductase (EC. 1.6.5.6)",. 1.6.5.6,0,0,0,0
"amylo-?-1,6-glucosidase (EC 3.2.1.33)", 3.2.1.33,0,0,0,0
pullulanase (EC 3.2.1.41), 3.2.1.41,0,0,0,0
cyclomaltodextrin glucanotransferase (EC 2.4.1.19), 2.4.1.19,0,0,0,0
trehalose-6-phosphate hydrolase (EC 3.2.1.93), 3.2.1.93,0,0,0,0
oligo-?-glucosidase (EC 3.2.1.10), 3.2.1.10,0,0,0,1
maltogenic amylase (EC 3.2.1.133), 3.2.1.133,0,0,0,0
neopullulanase (EC 3.2.1.135), 3.2.1.135,0,0,0,0
maltotetraose-forming ?-amylase (EC 3.2.1.60), 3.2.1.60,0,0,0,0
isoamylase (EC 3.2.1.68), 3.2.1.68,0,0,0,0
glucodextranase (EC 3.2.1.70), 3.2.1.70,0,0,0,0
maltohexaose-forming ?-amylase (EC 3.2.1.98), 3.2.1.98,0,0,0,0
maltotriose-forming ?-amylase (EC 3.2.1.116), 3.2.1.116,0,0,0,0
trehalose synthase (EC 5.4.99.16), 5.4.99.16,0,0,0,0
maltopentaose-forming ?-amylase (EC 3.2.1.-) , 3.2.1.-,0,0,0,0
amylosucrase (EC 2.4.1.4) , 2.4.1.4) ,0,0,0,0
sucrose phosphorylase (EC 2.4.1.7), 2.4.1.7,0,0,0,0
malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141), 3.2.1.141,0,0,0,0
isomaltulose synthase (EC 5.4.99.11), 5.4.99.11,0,0,0,0
malto-oligosyltrehalose synthase (EC 5.4.99.15), 5.4.99.15,0,0,0,0
"?-1,4-glucan: phosphate ?-maltosyltransferase (EC 2.4.99.16)", 2.4.99.16,0,0,0,0
amino acid transporter,,0,0,0,0
[retaining] sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329), 2.4.1.329,0,0,0,0
[retaining] glucosylglycerol phosphorylase (EC 2.4.1.359), 2.4.1.359,0,0,0,0
,,0,0,0,0
Glucosylglycerate phosphorylase (EC 2.4.1.352), 2.4.1.352,0,0,0,0
[retaining] sucrose ?-glucosidase (EC 3.2.1.48), 3.2.1.48,0,0,0,0
oligosaccharide ?-4-glucosyltransferase (EC 2.4.1.161), 2.4.1.161,,,,
"?,?-trehalase (EC 3.2.1.28)", 3.2.1.28,,,,
maltose phosphorylase (EC 2.4.1.8), 2.4.1.8,,,,
trehalose phosphorylase (EC 2.4.1.64), 2.4.1.64,,,,
kojibiose phosphorylase (EC 2.4.1.230), 2.4.1.230,,,,
trehalose-6-phosphate phosphorylase (EC 2.4.1.216), 2.4.1.216,,,,
nigerose phosphorylase (EC 2.4.1.279), 2.4.1.279,,,,
3-O-?-glucopyranosyl-L-rhamnose phosphorylase (EC 2.4.1.282), 2.4.1.282,,,,
2-O-?-glucopyranosylglycerol: phosphate ?-glucosyltransferase (EC 2.4.1.-), 2.4.1.-,,,,
"?-glucosyl-1,2-?-galactosyl-L-hydroxylysine ?-glucosidase (EC 3.2.1.107)", 3.2.1.107,,,,
Unclassified,,,,,
?-N-acetylgalactosaminidase (EC 3.2.1.49), 3.2.1.49,,,,
isomalto-dextranase (EC 3.2.1.94), 3.2.1.94,,,,
?-L-arabinopyranosidase (EC 3.2.1.88), 3.2.1.88,,,,
galactan:galactan galactosyltransferase (EC 2.4.1.-), 2.4.1.-,,,,
"endo-?-1,3(4)-glucanase / lichenase-laminarinase (EC 3.2.1.6)", 3.2.1.6),1,,,
"exo-?-1,4-glucanase / cellodextrinase (EC 3.2.1.74)", 3.2.1.74),1,,,
"xyloglucan-specific endo-?-1,4-glucanase / endo-xyloglucanase (EC 3.2.1.151)", 3.2.1.151,0,1,0,0
exo-?-glucosaminidase (EC 3.2.1.165), 3.2.1.165,,,,
invertase (EC 3.2.1.26), 3.2.1.26,,,,
endo-inulinase (EC 3.2.1.7), 3.2.1.7,,,,
"?-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64)", 3.2.1.64,,,,
endo-levanase (EC 3.2.1.65), 3.2.1.65,,,,
exo-inulinase (EC 3.2.1.80), 3.2.1.80,,,,
"fructan ?-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153)", 3.2.1.153,,,,
"fructan ?-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154)", 3.2.1.154,,,,
sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99), 2.4.1.99,,,,
fructan:fructan 1-fructosyltransferase (EC 2.4.1.100), 2.4.1.100,,,,
sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10), 2.4.1.10,,,,
fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243), 2.4.1.243,,,,
levan fructosyltransferase (EC 2.4.1.-), 2.4.1.-,,,,
[retaining] sucrose:sucrose 6-fructosyltransferase (6-SST) (EC 2.4.1.-), 2.4.1.-,,,,
cycloinulo-oligosaccharide fructanotransferase (EC 2.4.1.-), 2.4.1.-,,,,
"endo-?-1,2-glucanase (EC 3.2.1.71)", 3.2.1.71,,,,
"?-1,2-glucooligosaccharide sophorohydrolase (EC 3.2.1.-)", 3.2.1.-,,,,
mannosyl-glycoprotein endo-?-N-acetylglucosaminidase (EC 3.2.1.96), 3.2.1.96,,,,
peptidoglycan hydrolase with endo-?-N-acetylglucosaminidase specificity (EC 3.2.1.-), 3.2.1.-,,,,
?-hexosaminidase (EC 3.2.1.52), 3.2.1.52,,,,
lacto-N-biosidase (EC 3.2.1.140), 3.2.1.140,,,,
"?-1,6-N-acetylglucosaminidase (EC 3.2.1.-)", 3.2.1.-,,,,
?-6-SO3-N-acetylglucosaminidase (EC 3.2.1.-), 3.2.1.-,,,,
?-mannanase (EC 3.2.1.78), 3.2.1.78,,,,
"exo-?-1,4-mannobiohydrolase (EC 3.2.1.100)", 3.2.1.100,,,,
"?-1,3-xylanase (EC 3.2.1.32)", 3.2.1.32),,1,,
mannobiose-producing exo-?-mannanase (EC 3.2.1.-), 3.2.1.-,,,,
"endo-?-1,4-xylanase (EC 3.2.1.8)", 3.2.1.8),,1,,
?-glucosidase (3.2.1.21), 3.2.1.21),1,,,
?-fucosidase (EC 3.2.1.38), 3.2.1.38),,1,,
glucosylceramidase (EC 3.2.1.45), 3.2.1.45,,,,
"?-1,6-glucanase (EC 3.2.1.75)", 3.2.1.75,,,,
"glucuronoarabinoxylan endo-?-1,4-xylanase (EC 3.2.1.136)", 3.2.1.136,,,,
"endo-?-1,6-galactanase (EC:3.2.1.164)",:3.2.1.164),,1,,
[reducing end] ?-xylosidase (EC 3.2.1.-), 3.2.1.-),,1,,
inulin-binding,,,,,
"endo-?-1,4-glucanase / cellulase (EC 3.2.1.4)", 3.2.1.4),1,,,
?-glucosylceramidase (EC 3.2.1.45), 3.2.1.45,,,,
"glucan ?-1,3-glucosidase (EC 3.2.1.58)", 3.2.1.58,,,,
"glucan endo-1,6-?-glucosidase (EC 3.2.1.75)", 3.2.1.75,,,,
"mannan endo-?-1,4-mannosidase (EC 3.2.1.78)", 3.2.1.78,,,,
"cellulose ?-1,4-cellobiosidase (EC 3.2.1.91)", 3.2.1.91),1,,,
steryl ?-glucosidase (EC 3.2.1.104), 3.2.1.104,,,,
endoglycoceramidase (EC 3.2.1.123), 3.2.1.123,,,,
chitosanase (EC 3.2.1.132), 3.2.1.132,,,,
"xyloglucan-specific endo-?-1,4-glucanase (EC 3.2.1.151)", 3.2.1.151),0,1,0,0
"endo-?-1,6-galactanase (EC 3.2.1.164)", 3.2.1.164),,1,,
"?-1,3-mannanase (EC 3.2.1.-)", 3.2.1.-),,1,,
"arabinoxylan-specific endo-?-1,4-xylanase (EC 3.2.1.-)", 3.2.1.-),,1,,
mannan transglycosylase (EC 2.4.1.-), 2.4.1.-,,,,
"endo-?-1,3-glucanase / laminarinase (EC 3.2.1.39)", 3.2.1.39,,,,
?-N-acetylhexosaminidase (EC 3.2.1.52), 3.2.1.52,,,,
?-galactosylceramidase (EC 3.2.1.46), 3.2.1.46,,,,
?-L-fucosidase (EC 3.2.1.51), 3.2.1.51),,1,,
