Cluster,CAZyme,Cellulose,Hemicellulose,Lignin,Oligosaccharides
fucose-CazC2,AA12,1,0,0,0
xylose-CazC3,AA12,1,0,0,0
vanillic acid-CazC1,AA5_2,1,0,1,1
xylose-CazC1,AA5_2|CBM32,1,1,1,1
fucose-CazC3,AA6,0,0,1,0
xylose-CazC5,AA6,0,0,1,0
vanillic acid-CazC3,AA6,0,0,1,0
4-hydroxybenzoic acid-CazC7,AA6,0,0,1,0
benzoic acid-CazC2,CBM11|GH3,1,1,1,1
fucose-CazC2,CBM13,0,1,0,0
xylose-CazC1,CBM13,0,1,0,0
4-hydroxybenzoic acid-CazC2,CBM13,0,1,0,0
fucose-CazC1,CBM2,1,1,0,0
xylose-CazC1,CBM2,1,1,0,0
vanillic acid-CazC1,CBM2,1,1,0,0
4-hydroxybenzoic acid-CazC3,CBM2,1,1,0,0
glucose-CazC2,CBM22,0,1,0,0
fucose-CazC2,CBM32,0,1,0,1
xylose-CazC2,CBM32,0,1,0,1
vanillic acid-CazC1,CBM35|GH65,1,1,0,1
benzoic acid-CazC2,CBM38,0,0,0,1
fucose-CazC1,CBM48|CBM68|GH13_14,1,1,0,1
fucose-CazC1,CBM48|CBM68|GH13_14,1,1,0,1
xylose-CazC1,CBM48|CBM68|GH13_14,1,1,0,1
xylose-CazC1,CBM48|CBM68|GH13_14,1,1,0,1
glucose-CazC2,CBM4|GH9,1,1,0,1
glucose-CazC2,CBM4|GH9,1,1,0,1
xylose-CazC1,CBM4|GH9,1,1,0,1
xylose-CazC1,CBM4|GH9,1,1,0,1
fucose-CazC2,CBM50,0,0,0,0
xylose-CazC3,CBM50,0,0,0,0
vanillic acid-CazC1,CBM51|GH35,1,1,1,1
vanillic acid-CazC1,CBM51|GH35,1,1,1,1
4-hydroxybenzoic acid-CazC4,CBM51|GH35,1,1,1,1
4-hydroxybenzoic acid-CazC4,CBM51|GH35,1,1,1,1
"3,6-anhydro-D-galactose-CazC1",CBM57,0,0,0,1
4-hydroxybenzoic acid-CazC1,CBM57,0,0,0,1
glucose-CazC2,CBM57|GH2,1,1,0,1
glucose-CazC2,CBM61,0,1,0,0
vanillic acid-CazC1,CBM62,0,1,0,0
fucose-CazC1,CBM67|GH78,1,1,0,1
fucose-CazC1,CBM67|GH78,1,1,0,1
xylose-CazC1,CBM67|GH78,1,1,0,1
xylose-CazC1,CBM67|GH78,1,1,0,1
fucose-CazC1,CBM68,0,1,0,1
xylose-CazC1,CBM68,0,1,0,1
vanillic acid-CazC1,CBM68,0,1,0,1
4-hydroxybenzoic acid-CazC4,CBM68,0,1,0,1
glucose-CazC2,CBM6|GH2,1,1,0,1
glucose-CazC2,CBM6|GH2,1,1,0,1
glucose-CazC2,CBM6|GH2,1,1,0,1
vanillic acid-CazC1,CBM6|GH2,1,1,0,1
vanillic acid-CazC1,CBM6|GH2,1,1,0,1
vanillic acid-CazC1,CBM6|GH2,1,1,0,1
4-hydroxybenzoic acid-CazC4,CBM6|GH2,1,1,0,1
4-hydroxybenzoic acid-CazC4,CBM6|GH2,1,1,0,1
4-hydroxybenzoic acid-CazC4,CBM6|GH2,1,1,0,1
fucose-CazC2,CE4|GH18|GT2,0,1,0,1
fucose-CazC2,CE4|GH18|GT2,0,1,0,1
xylose-CazC3,CE4|GH18|GT2,0,1,0,1
xylose-CazC3,CE4|GH18|GT2,0,1,0,1
fucose-CazC4,GH0,0,0,0,0
xylose-CazC4,GH0,0,0,0,0
vanillic acid-CazC4,GH0,0,0,0,0
glucose-CazC5,GH105,0,0,0,1
glucose-CazC2,GH10|3.2.1.8,1,1,0,1
glucose-CazC4,GH113,0,0,0,1
glucose-CazC5,GH114,0,0,0,0
vanillic acid-CazC2,GH115,0,1,0,0
fucose-CazC2,GH128,0,1,0,1
xylose-CazC1,GH128,0,1,0,1
fucose-CazC1,GH129,0,0,0,1
vanillic acid-CazC3,GH13,0,0,0,1
glucose-CazC1,GH130,0,1,0,1
fucose-CazC3,GH130,0,1,0,1
xylose-CazC5,GH130,0,1,0,1
vanillic acid-CazC3,GH130,0,1,0,1
4-hydroxybenzoic acid-CazC7,GH130,0,1,0,1
fucose-CazC3,GH133,0,0,0,1
xylose-CazC5,GH133,0,0,0,1
fucose-CazC1,GH135,0,0,0,1
xylose-CazC1,GH135,0,0,0,1
glucose-CazC2,GH136,0,0,0,1
fucose-CazC3,GH13_10,0,0,0,1
xylose-CazC5,GH13_10,0,0,0,1
xylose-CazC4,GH13_11,0,0,0,1
