Cluster,Proteobacteria,Actinobacteria,Acidobacteria,Bacteroidetes,Planctomycetes,Firmicutes,Cyanobacteria,Gemmatimonadetes,Verrucomicrobia,Euryarchaeota,Ascomycota
glucose-CazC1,33.3333333333333,27.8523489932886,33.8709677419355,30.9278350515464,49.2537313432836,26.7857142857143,3.03030303030303,2.94117647058824,15.9090909090909,8.57142857142857,6.45161290322581
glucose-CazC2,6.77966101694915,10.4026845637584,24.1935483870968,18.5567010309278,20.8955223880597,26.7857142857143,42.4242424242424,41.1764705882353,31.8181818181818,40,45.1612903225806
glucose-CazC3,8.75706214689266,2.3489932885906,4.83870967741936,3.09278350515464,4.47761194029851,8.92857142857143,9.09090909090909,8.82352941176471,6.81818181818182,11.4285714285714,9.67741935483871
glucose-CazC4,4.80225988700565,2.3489932885906,4.83870967741936,19.5876288659794,4.47761194029851,8.92857142857143,9.09090909090909,17.6470588235294,11.3636363636364,8.57142857142857,9.67741935483871
glucose-CazC5,46.3276836158192,57.0469798657718,32.258064516129,27.8350515463918,20.8955223880597,28.5714285714286,36.3636363636364,29.4117647058824,34.0909090909091,31.4285714285714,29.0322580645161
fucose-CazC1,1.14902506963788,1.67516387472688,6.11510791366907,7.39130434782609,8.43373493975904,9.55414012738854,10.4,11.304347826087,17.0731707317073,18.8405797101449,26.530612244898
fucose-CazC2,15.7381615598886,20.0291332847779,32.0143884892086,39.5652173913043,19.8795180722892,32.484076433121,20.8,21.7391304347826,34.1463414634146,34.7826086956522,48.9795918367347
fucose-CazC3,38.091922005571,44.3554260742899,29.4964028776978,26.9565217391304,45.7831325301205,38.2165605095541,45.6,18.2608695652174,40.2439024390244,39.1304347826087,18.3673469387755
fucose-CazC4,45.0208913649025,33.9402767662054,32.3741007194245,26.0869565217391,25.9036144578313,19.7452229299363,23.2,48.6956521739131,8.53658536585366,7.2463768115942,6.12244897959184
xylose-CazC1,2.23033252230333,7.2922893006575,13.1004366812227,12.5581395348837,12.2905027932961,17.6056338028169,17.2932330827068,18.2608695652174,26.1904761904762,29.5774647887324,43.1372549019608
xylose-CazC2,4.5823195458232,10.4602510460251,17.0305676855895,17.6744186046512,10.0558659217877,23.943661971831,6.01503759398496,7.82608695652174,11.9047619047619,14.0845070422535,17.6470588235294
xylose-CazC3,10.4622871046229,2.98864315600717,9.60698689956332,12.5581395348837,3.91061452513967,10.5633802816901,7.5187969924812,7.82608695652174,11.9047619047619,9.85915492957746,13.7254901960784
xylose-CazC4,31.10300081103,34.0107591153616,22.707423580786,26.046511627907,30.1675977653631,4.92957746478873,25.5639097744361,46.0869565217391,7.14285714285714,7.04225352112676,5.88235294117647
xylose-CazC5,51.6220600162206,45.2480573819486,37.5545851528384,31.1627906976744,43.5754189944134,42.9577464788732,43.609022556391,20,42.8571428571429,39.4366197183099,19.6078431372549
vanillic acid-CazC1,2.35219326128417,2.44519392917369,11.6564417177914,10.880829015544,12.8787878787879,20,18.3908045977012,18.8888888888889,26.6666666666667,35.5555555555556,48.4848484848485
vanillic acid-CazC2,8.51875397329943,10.3709949409781,22.6993865030675,29.0155440414508,7.57575757575758,29,11.4942528735632,11.1111111111111,28.3333333333333,20,21.2121212121212
vanillic acid-CazC3,40.368722186904,39.2074198988196,33.7423312883436,31.0880829015544,38.6363636363636,44,31.0344827586207,11.1111111111111,35,33.3333333333333,21.2121212121212
vanillic acid-CazC4,48.7603305785124,47.9763912310287,31.9018404907976,29.0155440414508,40.9090909090909,7,39.0804597701149,58.8888888888889,10,11.1111111111111,9.09090909090909
4-hydroxybenzoic acid-CazC1,3.47003154574132,2.52206809583859,12.5,6.29370629370629,8.43373493975904,10,9.09090909090909,17.8571428571429,10.6382978723404,15.625,20
4-hydroxybenzoic acid-CazC2,0.10515247108307,2.90037831021438,0.78125,1.3986013986014,1.20481927710843,1.25,3.63636363636364,3.57142857142857,2.12765957446809,3.125,4
4-hydroxybenzoic acid-CazC3,0.525762355415352,2.01765447667087,2.34375,2.0979020979021,3.6144578313253,3.75,5.45454545454545,10.7142857142857,6.38297872340426,9.375,12
4-hydroxybenzoic acid-CazC4,0.736067297581493,1.38713745271122,4.6875,4.1958041958042,7.2289156626506,8.75,10.9090909090909,21.4285714285714,12.7659574468085,18.75,24
4-hydroxybenzoic acid-CazC5,7.78128286014721,10.718789407314,25,37.0629370629371,3.6144578313253,8.75,7.27272727272727,14.2857142857143,14.8936170212766,12.5,8
4-hydroxybenzoic acid-CazC6,7.88643533123028,5.54854981084489,10.9375,15.3846153846154,6.02409638554217,20,5.45454545454545,10.7142857142857,8.51063829787234,9.375,12
4-hydroxybenzoic acid-CazC7,79.4952681388013,74.9054224464061,43.75,33.5664335664336,69.8795180722892,47.5,58.1818181818182,21.4285714285714,44.6808510638298,31.25,20
4-hydroxybenzoic acid-CazC1,0,0,0,0,0,0,0,0,0,0,0
4-hydroxybenzoic acid-CazC2,0,0,0,0,0,0,0,0,0,0,0
4-hydroxybenzoic acid-CazC3,0,0,0,0,0,0,0,0,0,0,0
4-hydroxybenzoic acid-CazC4,0,0,0,0,0,0,0,0,0,0,0
4-hydroxybenzoic acid-CazC5,0,0,0,0,0,0,0,0,0,0,0
